[2026-05-23 14:13:15] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55291
[2026-05-23 14:13:16] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:13:16] Zarejestrowano alert: Protokół=TCP, Źródło=159.124.21.33, Cel=192.168.0.13, Port=57518
[2026-05-23 14:13:17] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:13:17] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:13:17] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:13:18] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:13:18] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:13:18] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:13:19] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55291
[2026-05-23 14:13:19] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:13:21] Zarejestrowano alert: Protokół=TCP, Źródło=104.16.4.34, Cel=192.168.0.13, Port=65483
[2026-05-23 14:13:21] Zarejestrowano alert: Protokół=TCP, Źródło=104.16.4.34, Cel=192.168.0.13, Port=65483
[2026-05-23 14:13:21] Zarejestrowano alert: Protokół=TCP, Źródło=104.16.4.34, Cel=192.168.0.13, Port=65483
[2026-05-23 14:13:21] Zarejestrowano alert: Protokół=TCP, Źródło=104.16.4.34, Cel=192.168.0.13, Port=65483
[2026-05-23 14:13:21] Zarejestrowano alert: Protokół=TCP, Źródło=104.16.4.34, Cel=192.168.0.13, Port=65483
